RCDTS,School Name,ambitious_instruction,collaborative_teachers,involved_families,supportive_environment,Year
1.50163E+14,Holden Elem School,64.0,61.0,73.0,67.0,2021
1.50163E+14,Holmes Elem School,,54.0,47.0,,2021
1.50163E+14,Hope Learning Academy,73.0,52.0,76.0,82.0,2021
15016299025240,Horizon Sci Academy - Southwest Charter,48.0,44.0,47.0,62.0,2021
15016901025201,Horizon Science Acad-Belmont Charter Sch,63.0,48.0,41.0,64.0,2021
15016900025201,Horizon Science Acad-McKinley Park Charter Sch,35.0,40.0,47.0,34.0,2021
1.50163E+14,Howe Elem School,,,,,2021
1.50163E+14,Hoyne Elem School,75.0,46.0,58.0,53.0,2021
1.50163E+14,Hubbard High School,51.0,73.0,71.0,71.0,2021
1.50163E+14,Hughes  C Elem School,78.0,70.0,65.0,44.0,2021
1.50163E+14,Hughes L Elem School,67.0,47.0,59.0,46.0,2021
1.50163E+14,Hurley Elem School,43.0,36.0,51.0,56.0,2021
1.50163E+14,Hyde Park Academy High School,,59.0,48.0,,2021
15016299025012,IHSCA Charter High School,48.0,34.0,40.0,66.0,2021
15016299025020,IJLA Charter High School,89.0,85.0,67.0,99.0,2021
1.50163E+14,Infinity Math  Science & Tech HS,55.0,64.0,55.0,70.0,2021
1.50163E+14,Inter-American Elem Magnet School,59.0,56.0,73.0,71.0,2021
15016905025001,Intrinsic 2 Charter High School,86.0,83.0,97.0,71.0,2021
15016299025022,Intrinsic Charter High School,75.0,57.0,87.0,81.0,2021
1.50163E+14,Irving Elem School,45.0,24.0,43.0,57.0,2021
1.50163E+14,Jackson M Elem School,50.0,,,53.0,2021
1.50163E+14,Jahn Elem School,73.0,19.0,58.0,64.0,2021
1.50163E+14,James R Doolittle Academy,,55.0,62.0,,2021
1.50163E+14,Jamieson Elem School,54.0,48.0,69.0,63.0,2021
1.50163E+14,Jensen Elem Scholastic Academy,65.0,41.0,39.0,60.0,2021
1.50163E+14,Johnson Elem School,57.0,58.0,40.0,63.0,2021
1.50163E+14,Jones College Prep High School,80.0,41.0,73.0,89.0,2021
1.50163E+14,Joplin Elem School,74.0,56.0,56.0,68.0,2021
1.50163E+14,Jordan Elem Community School,60.0,58.0,55.0,65.0,2021
1.50163E+14,Juarez Community Academy HS,,,,,2021
1.50163E+14,Julian High School,76.0,86.0,82.0,77.0,2021
1.50163E+14,Jungman Elem School,,,,,2021
1.50163E+14,Kanoon Elem Magnet School,50.0,55.0,57.0,64.0,2021
1.50163E+14,Keller Elem Gifted Magnet School,69.0,99.0,97.0,59.0,2021
1.50163E+14,Kellman Corporate Community Elem,66.0,64.0,97.0,58.0,2021
1.50163E+14,Kellogg Elem School,59.0,58.0,81.0,54.0,2021
1.50163E+14,Kelvyn Park High School,44.0,63.0,63.0,66.0,2021
1.50163E+14,Kennedy High School,,40.0,50.0,,2021
1.50163E+14,Kenwood Academy High School,79.0,80.0,91.0,87.0,2021
1.50163E+14,Kershaw Elem School,68.0,67.0,60.0,74.0,2021
1.50163E+14,Kilmer Elem School,72.0,50.0,70.0,82.0,2021
1.50163E+14,King Academy of Social Justice,69.0,73.0,43.0,57.0,2021
1.50163E+14,King College Prep High School,,36.0,53.0,,2021
1.50163E+14,Kinzie Elem School,69.0,64.0,75.0,74.0,2021
1.50163E+14,Kipling Elem School,,66.0,46.0,,2021
15016299025101,KIPP Academy Chicago Campus,,68.0,66.0,,2021
15016299025245,KIPP Chicago Charter School - KIPP One Academy,,79.0,75.0,,2021
15016299025282,KIPP Chicago Charters - Ascend Academy,,78.0,56.0,,2021
15016299025103,KIPP Chicago Charters - Bloom Campus,,89.0,76.0,,2021
1.50163E+14,Kozminski Elem Community Academy,45.0,27.0,42.0,51.0,2021
1.50163E+14,Lake View High School,,53.0,58.0,,2021
1.50163E+14,Lane Technical High School,,,,,2021
1.50163E+14,Langford A Elem School,57.0,42.0,22.0,46.0,2021
