RCDTS,School ID,Network,School Name,2020 CA,2021 CA,2022 CA,2023 CA,2024 CA,,,,,,,
150162990252881,610325,Network 4,Avondale - Logandale Elementary School,4.4%,15.7%,29.3%,33.1%,33.8%,,,,,,,
150162990252223,609945,Network 2,Goudy Technology Academy,4.4%,16.8%,21.6%,26.3%,33.3%,,,,,,,
150162990252864,609872,Network 7,Perez Elem School,4.4%,23.6%,34.3%,27.7%,36.7%,,,,,,,
150162990252900,609993,ISP,Lara Elem Academy,4.4%,27.4%,40.0%,36.9%,42.0%,,,,,,,
150162990252159,609885,Network 8,Dewey Elem Academy of Fine Arts,4.4%,38.7%,61.6%,36.9%,28.2%,,,,,,,
150162990252087,609803,Network 4,Blaine Elem School,4.5%,3.0%,12.1%,10.8%,10.7%,,,,,,,
150162990252603,609874,Network 1,Dirksen Elem School,4.5%,8.3%,27.3%,34.5%,31.8%,,,,,,,
150162990252876,609842,ISP,Carson Elem School,4.5%,10.9%,31.6%,20.3%,23.0%,,,,,,,
150162990252829,610017,Network 7,Saucedo Elem Scholastic Academy,4.5%,13.4%,43.3%,36.5%,44.9%,,,,,,,
150162990252059,609779,ISP,Armstrong G Elem IntL Studies,4.5%,15.8%,29.4%,28.4%,25.9%,,,,,,,
150162990252142,609867,Network 7,Cooper Elem Dual Language Academy,4.5%,16.8%,30.5%,26.0%,41.5%,,,,,,,
150162990252892,609925,Network 5,Kellman Corporate Community Elem,4.5%,19.8%,36.7%,32.3%,40.1%,,,,,,,
150162990252226,609949,Network 1,Gray Elem School,4.5%,20.0%,36.3%,33.9%,34.4%,,,,,,,
15016299025264C,400079,Charter,Acero Chtr Sch Network - SPC Daniel Zizumbo Elem Sch,4.6%,20.7%,29.5%,29.8%,27.6%,,,,,,,
150162990252903,609977,Network 9,Woodlawn Elem Community School,4.6%,32.7%,66.7%,36.8%,41.3%,,,,,,,
150162990250803,610304,ISP,Phoenix Military Academy HS,4.6%,51.5%,40.4%,39.0%,45.4%,,,,,,,
150162990252383,610104,Network 1,Onahan Elem School,4.7%,7.2%,21.4%,23.0%,16.4%,,,,,,,
150162990252273,610000,Network 3,Howe Elem School,4.7%,8.7%,50.3%,41.7%,52.6%,,,,,,,
15016299025284C,400112,Charter,Acero Chtr Sch Network  - Jovita Idar Elem School,4.7%,10.0%,26.0%,32.2%,26.2%,,,,,,,
150162990252119,609836,Network 1,Canty Elem School,4.7%,10.1%,28.5%,26.7%,31.9%,,,,,,,
150162990252494,610209,Network 1,Volta Elem School,4.7%,11.1%,33.5%,28.9%,27.4%,,,,,,,
150162990252081,609798,Network 1,Belding Elem School,4.7%,11.9%,23.6%,25.5%,27.2%,,,,,,,
150162990252492,610208,Network 13,Lavizzo Elem School,4.7%,12.3%,48.2%,27.0%,41.5%,,,,,,,
150162990252426,610147,ISP,Rogers Elem School,4.7%,12.7%,23.6%,24.8%,26.2%,,,,,,,
150162990252933,610352,Network 10,Durkin Park Elem School,4.7%,13.0%,33.0%,32.6%,31.8%,,,,,,,
150162990252280,610006,Network 10,Hurley Elem School,4.7%,16.6%,34.0%,32.0%,36.4%,,,,,,,
15016299025266C,400101,Charter,Acero Chtr Sch Network- Sandra Cisneros Elem School,4.7%,20.5%,56.6%,24.2%,29.3%,,,,,,,
150162990252328,610052,Network 12,Mann Elem School,4.7%,27.7%,36.5%,33.2%,33.7%,,,,,,,
150162990252112,609832,Network 10,Byrne Elem School,4.8%,10.1%,33.2%,35.7%,27.7%,,,,,,,
150162990252461,610182,Network 1,Solomon Elem School,4.8%,10.8%,19.7%,30.9%,34.5%,,,,,,,
150162990252802,610290,Network 11,Mays Elem Academy,4.8%,14.6%,26.7%,41.2%,44.5%,,,,,,,
150162990250764,609755,Network 15,Young Magnet High School,4.8%,15.2%,18.7%,15.7%,15.5%,,,,,,,
150162990252444,610165,Network 3,Schubert Elem School,4.8%,26.9%,43.6%,39.9%,40.8%,,,,,,,
150162990252855,609990,ISP,South Loop Elem School,4.9%,11.3%,20.8%,17.5%,21.7%,,,,,,,
150162990252094,609809,Network 4,Brentano Elem Math & Science Acad,4.9%,11.9%,28.1%,28.8%,20.5%,,,,,,,
150162990252914,610226,ISP,Sandoval Elem School,4.9%,18.5%,41.6%,34.2%,36.1%,,,,,,,
15016299025272C,400048,Charter,LEARN Charter Excel Campus,4.9%,25.4%,45.7%,46.7%,25.0%,,,,,,,
150162990252231,609955,Network 11,Gresham Elem School,4.9%,27.7%,31.1%,21.2%,28.4%,,,,,,,
150162990252737,610312,ISP,McDowell Elem School,5.0%,15.3%,27.6%,17.3%,0.0%,,,,,,,
150162990252963,610539,ISP,Camras Elem School,5.0%,18.5%,38.1%,32.0%,33.1%,,,,,,,
150162990252366,610090,Network 9,Murray Elem Language Academy,5.0%,21.0%,33.4%,30.3%,28.6%,,,,,,,
150162990252926,610249,ISP,Talman Elem School,5.0%,22.6%,40.9%,38.6%,28.9%,,,,,,,
150162990252878,610009,Network 6,Galileo Elem Math & Sci Schol Acd,5.1%,8.8%,25.4%,18.1%,22.4%,,,,,,,
150162990252477,610196,Network 2,Swift Elem Specialty School,5.1%,10.7%,24.1%,31.2%,35.7%,,,,,,,
150162990252897,609973,Network 7,Zapata Elem Academy,5.1%,15.5%,36.8%,32.2%,37.4%,,,,,,,
150162990252303,610029,Network 6,Lozano Elem Bilingual & Intl Ctr,5.1%,21.5%,50.5%,56.4%,68.6%,,,,,,,
150162990252263,609991,Network 7,Herzl Elem School,5.1%,33.0%,54.6%,50.9%,44.1%,,,,,,,
150162990252367,610091,Network 13,Brown R Elem Community Acad,5.1%,38.8%,51.1%,24.7%,28.4%,,,,,,,
150162990252413,610138,Network 6,Pulaski Intl Sch of Chicago,5.2%,11.9%,22.8%,19.2%,22.0%,,,,,,,
15016299025254C,400027,Charter,CICS - Irving Park Campus,5.2%,15.6%,32.6%,40.6%,28.9%,,,,,,,
150162990252161,609887,Network 12,Dixon Elem School,5.2%,16.0%,31.3%,24.0%,28.8%,,,,,,,
150162990252356,610076,Network 5,Moos Elem School,5.2%,18.2%,42.8%,37.1%,37.9%,,,,,,,
15016299025101C,400146,Charter,KIPP Academy Chicago Campus,5.2%,23.7%,51.2%,40.0%,38.4%,,,,,,,
150162990252395,610116,Network 12,Parkside Elem Community Academy,5.2%,44.0%,50.7%,44.5%,51.1%,,,,,,,
150162990252409,610135,Network 1,Portage Park Elem School,5.3%,15.5%,32.7%,33.7%,33.7%,,,,,,,
150162990252930,610284,Network 2,New Field Elem School,5.3%,20.0%,35.5%,33.6%,34.8%,,,,,,,
150162990252194,609910,Network 3,Falconer Elem School,5.3%,22.9%,44.6%,37.3%,37.5%,,,,,,,
150162990252352,610293,Network 5,Melody Elem School,5.4%,11.4%,16.7%,7.6%,5.7%,,,,,,,
15016299025261C,400082,Charter,Acero Chtr Sch Network - Carlos Fuentes  Elem School,5.4%,15.3%,29.8%,31.3%,27.0%,,,,,,,
15016299025258C,400076,Charter,Univ of Chicago Chtr-Nth Kenwood,5.4%,20.5%,37.9%,36.5%,31.3%,,,,,,,
150162990252341,610063,Network 7,McCormick Elem School,5.4%,21.5%,41.2%,35.5%,41.5%,,,,,,,
150162990252637,610004,Network 13,Cullen Elem School,5.4%,21.7%,41.9%,21.9%,26.5%,,,,,,,
150162990252505,610221,Network 5,Webster Elem School,5.4%,33.7%,47.8%,34.9%,34.6%,,,,,,,
150162990252255,609981,Network 10,Hearst Elem School,5.4%,37.3%,47.3%,37.6%,41.4%,,,,,,,
150162990252101,609817,ISP,Budlong Elem School,5.5%,10.4%,25.9%,29.8%,30.8%,,,,,,,
150162990252095,609810,Network 1,Bridge Elem School,5.5%,13.1%,33.0%,33.3%,32.0%,,,,,,,
15016299025022C,400162,Charter,Intrinsic Charter High School,5.5%,20.5%,37.7%,37.7%,44.2%,,,,,,,
15016299025218C,400050,Charter,Namaste Elem Charter School,5.5%,30.3%,46.6%,37.2%,36.0%,,,,,,,
150162990252908,610100,Network 5,West Park Elem Academy,5.6%,9.6%,32.0%,38.2%,32.4%,,,,,,,
150162990252465,610185,Network 10,Stevenson Elem School,5.6%,13.8%,34.0%,31.0%,41.2%,,,,,,,
150162990252296,610022,Network 2,Kilmer Elem School,5.6%,15.7%,29.4%,27.8%,28.5%,,,,,,,
150162990250832,610402,Network 14,Devry Advantage Academy High Schl,5.6%,18.4%,37.0%,43.7%,30.1%,,,,,,,
150162990252107,609827,Network 12,Burnside Elem Scholastic Academy,5.6%,20.3%,23.1%,23.7%,27.3%,,,,,,,
150162990252618,609927,Network 11,Foster Park Elem School,5.6%,28.3%,32.3%,27.5%,45.5%,,,,,,,
150162990252773,610128,Network 13,Garvey  M Elem School,5.6%,39.4%,43.1%,35.0%,30.8%,,,,,,,
150162990252622,609944,Network 13,Grissom Elem School,5.7%,9.3%,38.4%,29.9%,29.6%,,,,,,,
150162990250794,609749,Network 14,Northside College Preparatory Hs,5.7%,12.8%,26.5%,24.6%,30.9%,,,,,,,
150162990252873,610319,Network 8,Evergreen Academy Elem School,5.7%,13.0%,27.4%,26.9%,25.7%,,,,,,,
150162990252330,610053,Network 10,Marquette Elem School,5.7%,18.2%,39.9%,25.8%,22.2%,,,,,,,
150162990252965,610542,ISP,West Ridge Elem School,5.7%,20.1%,36.0%,35.2%,40.6%,,,,,,,
150162990252051,609772,Network 13,Addams Elem School,5.7%,21.9%,41.2%,36.6%,31.4%,,,,,,,
15016299025259C,400083,Charter,Acero Chtr Sch Network - Octavio Paz Elem School,5.7%,35.6%,36.5%,22.9%,23.4%,,,,,,,
150162990252232,609956,Network 10,Grimes Elem School,5.8%,10.9%,37.6%,33.5%,32.4%,,,,,,,
150162990252227,609850,Network 4,Greeley Elem School,5.8%,12.8%,28.4%,27.7%,48.0%,,,,,,,
150162990252862,610021,Network 5,Casals Elem School,5.8%,18.4%,36.8%,25.0%,24.3%,,,,,,,
150162990252374,610097,Network 4,Nixon Elem School,5.8%,24.2%,45.8%,40.8%,41.4%,,,,,,,
150162990252964,610541,Network 4,Garcia Lorca Elem School,5.8%,25.9%,35.8%,32.2%,29.0%,,,,,,,
150162990252488,610203,Network 8,Monarcas Academy,5.8%,30.9%,39.0%,37.2%,31.1%,,,,,,,
150162990252316,610040,Network 3,Lloyd Elem School,5.9%,15.7%,43.5%,36.7%,40.7%,,,,,,,
150162990252120,609837,Network 9,Carnegie Elem School,5.9%,20.9%,48.4%,34.4%,28.4%,,,,,,,
150162990252828,610342,Network 6,Sabin Elem Magnet School,5.9%,29.1%,51.7%,50.8%,60.4%,,,,,,,
15016299025241C,400168,Charter,Great Lakes Academy Charter ES,5.9%,34.1%,29.5%,23.2%,22.6%,,,,,,,
150162990252097,609812,Network 6,Brown  W Elem School,5.9%,38.2%,44.4%,33.7%,43.7%,,,,,,,
150162990252605,610367,Network 3,Depriest Elem School,5.9%,59.3%,60.5%,52.4%,53.1%,,,,,,,
150162990252371,610095,Network 4,Newberry Elem Math & Science Acad,6.0%,15.4%,43.4%,40.2%,43.5%,,,,,,,
150162990252703,610291,ISP,Lee Elem School,6.0%,17.0%,36.7%,31.6%,34.3%,,,,,,,
150162990252202,609917,Network 13,Fernwood Elem School,6.0%,22.7%,50.2%,26.8%,26.3%,,,,,,,
150162990252934,610353,Network 8,Calmeca Acad Elem School,6.0%,24.2%,35.6%,34.9%,29.8%,,,,,,,
